1,cyclonegenesis date,2020-03-14T03:00:00+09:00
2,lifetime (hour),126
3,max. developing rate,1.23,38.8,153.8
4,minimum SLP,965.9,47.5,165.0
100,No. of timestep (or No. of lines),22
100,timestep,date,time,lat,lon,SLP,develop_rate
110,1,2020-03-14,03:00:00,52.5,125.0,1005.1,-999
110,2,2020-03-14,09:00:00,50.0,126.2,1004.5,0.18
110,3,2020-03-14,15:00:00,48.8,127.5,1002.7,-0.06
110,4,2020-03-14,21:00:00,46.2,128.8,1005.3,-0.13
110,5,2020-03-15,03:00:00,42.5,131.2,1004.3,0.17
110,6,2020-03-15,09:00:00,40.0,132.5,1003.4,0.27
110,7,2020-03-15,15:00:00,38.8,135.0,1001.4,0.11
110,8,2020-03-15,21:00:00,38.8,136.2,1002.2,-0.04
110,9,2020-03-16,03:00:00,38.8,138.8,1001.8,0.08
110,10,2020-03-16,09:00:00,36.2,143.8,1001.3,0.67
110,11,2020-03-16,15:00:00,36.2,147.5,995.1,1
110,12,2020-03-16,21:00:00,37.5,150.0,991.3,1.03
110,13,2020-03-17,03:00:00,38.8,153.8,984.5,1.23
110,14,2020-03-17,09:00:00,41.2,157.5,978.2,1.06
110,15,2020-03-17,15:00:00,42.5,160.0,972.6,0.65
110,16,2020-03-17,21:00:00,43.8,163.8,970.7,0.57
110,17,2020-03-18,03:00:00,47.5,165.0,965.9,0.35
110,18,2020-03-18,09:00:00,48.8,166.2,966.3,-0.1
110,19,2020-03-18,15:00:00,52.5,167.5,967.2,-0.09
110,20,2020-03-18,21:00:00,53.8,170.0,967.5,-0.01
110,21,2020-03-19,03:00:00,56.2,170.0,967.3,-0.23
110,22,2020-03-19,09:00:00,58.8,171.2,970.8,-999